Page / Section,English,Sinhala (සිංහල),Tamil (தமிழ்)
"Home — FAQ","Yes — we have a dedicated Overseas service for Sri Lankans living abroad. We'll assign a local property manager who does monthly video inspections, pays your bills, coordinates repairs, and sends reports directly to your WhatsApp. Starting from Rs. 2,500/month.","",""
"Home — FAQ","How do I become a seller?","",""
"Home — FAQ","Click 'Join Needlyy' and select 'Become a Seller'. You'll complete a 3-step registration with your details, service category, and ID verification. Our admin team reviews applications within 24 hours. Once approved, you can post services and start earning.","",""
"Home — FAQ","What commission does Needlyy charge sellers?","",""
"Home — FAQ","Needlyy charges a 10% platform fee on completed orders. This covers payment processing, customer support, the trust infrastructure, and marketing that brings buyers to your listings. There are no monthly fees — you only pay when you earn.","",""
"Home — FAQ","Still have questions?","",""
"Home — FAQ","Our support team replies within 2 hours on WhatsApp.","",""
"Home — FAQ","Chat on WhatsApp","",""
"Home — FAQ","Send Email","",""
"Home — Testimonials","Real stories from real users","",""
"Home — Testimonials","Trusted by 18,000+ Sri Lankans","",""
"Home — Testimonials","From emergency repairs to growing freelance businesses — hear what our community says.","",""
"Home — Testimonials","Average Rating","",""
"Home — Testimonials","Reviews","",""
"Home — Testimonials","Repeat Buyers","",""
"Home — Testimonials","Verified review","",""
"Home — District","Browse by location","",""
"Home — District","Services near you","",""
"Home — District","Find local pros in your district or book online.","",""
"Home — Bottom CTA","Ready to get something amazing done?","",""
"Home — Bottom CTA","Join the marketplace where Sri Lanka gets things done — securely and on time.","",""
"Home — Bottom CTA","Get Started Free","",""
"Home — Bottom CTA","Sign in","",""
"Home — Bottom CTA","Secure Payments","",""
"Home — Bottom CTA","Top Talent","",""
"Home — Bottom CTA","Direct Messaging","",""
"Home — Bottom CTA","Fast Delivery","",""
